ITEMCODE,DESCRIPTION,GENERIC NAME,UOM,PRICE
253029,BONAMINE CHEWABLE 25MG ADULT 240'S,MECLIZINE,PCS,13.7
250662,BUSCOPAN 10MG TABLET 120'S PACK4'S,HYOSCINE-N,PCS,26.75
250661,BUSCOPAN PLUS 10MG/500MG 100'S,HYOSCINE-N,PCS,32.6
257424,BUSCOPAN VENUS 10MG BOX100 PACK4,HYOSCINE+PARACETAMOL,PCS,30.35
253747,C-4 KIDS SYRUP 120ML,ASCORBIC ACID,BOT,121
252044,CALADRYL 30ML LOTION,DIPHENHYDRAMINE,BOT,132.3
252043,CALADRYL 60ML LOTION,DIPHENHYDRAMINE,BOT,151.5
250047,CALCI-AID CAPSULE BOX100 BOT30,CALCIUM CARBONATE,PCS,8.8
258646,CALCIUM ASCORBATE IPH W/ ZINC B100'S,CALCIUM ASCORBATE,PCS,6.7
257067,CALCIUM CARBONATE DMG 500MG 100'S,CALCIUM CARBONATE,PCS,1.75
250002,CALCIUM LACTATE UHP 325MG TABLET 100'S,CALCIUM,PCS,1
250003,CALCIUM LACTATE UHP 650 BT105 PACK100,CALCIUM CARBONATE,PCS,1.6
255565,CALCIUMADE TABLET 100'S,MULTIVITAMINS,PCS,9.6
259756,CALMAG PLUS CAPLET 50'S,CALCIUM,PCS,7.95
252568,CALPOL 10ML DROPS 126'S,PARACETAMOL,BOT,65.95
250831,CALPOL 120MG 60ML SYRUP 96'S,PARACETAMOL,BOT,98.5
252840,CALPOL 500MG TABLET 100'S,PARACETAMOL,PCS,2.5
250832,CALPOL 6 PLUS SYRUP 60ML 96'S,PARACETAMOL,BOT,149.2
250039,CALSAN 500MG TABLET 30'S,CALCIUM CARBONATE,PCS,16.5
260261,CALTRATE PLUS 500-D TABLET B100'S,CALCIUM,PCS,10
257891,CALTRATE PLUS BOT 30'S,CALCIUM,BOT,239.25
252518,CALTRATE PLUS TABLET C/S 100'S,CALCIUM,PCS,8.25
259351,CALVIT 600MG/200IU FCT B100'S,CALCIUM,PCS,8.75
252046,CANESTEN CREAM 10G,CLOTRIMAZOLE,TUBE,326.3
253469,CANESTEN CREAM 3G,CLOTRIMAZOLE,TUBE,119.35
252039,CANESTEN CREAM 5G,CLOTRIMAZOLE,TUBE,191.4
251743,CANKER SORE DROPS BOX12 BOT1'S,POTASSIUM ALUM,BOT,41.25
257070,CARBOCISTEINE DMG 500MG CAP100,CARBOCISTEINE,PCS,2.95
257581,CARBOCISTEINE ULG 500MG CAPSULE 100'S,CARBOCISTEINE,PCS,6.5
260347,CARDICLEAR 1000MG SOFTGEL 60'S,FOOD SUPPLEMENT,PCS,8.8
250411,CECON 500 CHEWABLE TABLET 15'S 100'S,ASCORBIC ACID,PCS,9.45
259536,CECON CALCIUM BE 350MG CAPSULE B30'S,VITAMIN/MINERAL,PCS,10.2
250537,CEELIN 120ML SYRUP,ASCORBIC ACID,BOT,128
250539,CEELIN 15ML DROPS,ASCORBIC ACID,BOT,75.8
250388,CEELIN 250ML SYRUP,ASCORBIC ACID,BOT,239.65
250538,CEELIN 30ML DROPS,ASCORBIC ACID,BOT,136.5
253389,CEELIN 500ML SYRUP,ASCORBIC ACID,BOT,433.6
254680,CEELIN 60ML SYRUP,ASCORBIC ACID,BOT,69.5
255029,CEELIN CHEWABLE 100MG 60' & 30',ASCORBIC ACID,PCS,5.35
258603,CEELIN PLUS CHEWABLE TABLET BOX100'S,ASCORBIC ACID,PCS,6.25
257616,CEELIN PLUS DROP 15ML,ASCORBIC ACID,BOT,90.45
257617,CEELIN PLUS DROP 30ML,ASCORBIC ACID,BOT,158
256180,CEELIN PLUS SYRUP 120ML APPLE,ASCORBIC ACID,BOT,154.15
256181,CEELIN PLUS SYRUP 250ML APPLE,ASCORBIC ACID,BOT,286.85
256182,CEELIN PLUS SYRUP 60ML APPLE,ASCORBIC ACID,BOT,81.95
257707,CEETAB 500MG UHP TABLET B100'S,ASCORBIC ACID,PCS,2.3
257943,CEETAB DAILY 500MG TAB 100'S,ASCORBIC ACID,PCS,2.3
259288,CEETAB PREMIUM UHP SODIUM ASCORBATE B100'S,SODIUM ASCORBATE,PCS,4.5
257368,CENTRAVIM TAB 100'S BLISTER,VITAMINS,PCS,12.05
256253,CENTRUM SILVER CAP BOX100 PACK30,VITAMIN/MINERAL,PCS,12.95
250448,CENTRUM TABLET 100'S,VITAMIN/MINERAL,PCS,10.7
257970,CENTRUM TABLET 30'S,VITAMIN/MINERAL,BOT,295.35
256375,CETI-MED 10MG TABLET 100'S,CETIRIZINE,PCS,23.85
252968,CHERIFER DROPS 15ML,VITAMIN/MINERAL,BOT,85.8
251633,CHERIFER DROPS 30ML,MULTIVITAMINS,BOT,153.95
253394,CHERIFER FORTE SYRUP 120ML,MULTIVITAMINS,BOT,190.3
254301,CHERIFER FORTE SYRUP 240ML,MULTIVITAMINS,BOT,335.5
254304,CHERIFER FORTE SYRUP W/ ZINC 120ML,MULTIVITAMINS,BOT,203.5
254340,CHERIFER FORTE W/ ZINC 240ML,MULTIVITAMINS,BOT,357.45
256144,CHERIFER IMMUNOMAX 120ML SYRUP,FOOD SUPPLEMENT,BOT,405.9
252199,CHERIFER PGM 10-22 CAP BOX100 PACK30'S,MULTIVITAMINS,PCS,17.95
256143,CHERIFER PGM10-22 W/ ZINC+CGF30',MULTIVITAMINS,PCS,20.2
251632,CHERIFER PREMIUM CAPSULE 30'S,MULTIVITAMINS,PCS,19.35
251634,CHERIFER SYRUP 120ML,MULTIVITAMINS,BOT,170.5
251635,CHERIFER SYRUP 240ML,MULTIVITAMINS,BOT,308
254001,CHERIFER SYRUP W/ ZINC 120ML,MULTIVITAMINS,BOT,176
254303,CHERIFER SYRUP W/ ZINC 240ML,MULTIVITAMINS,BOT,313.5
258319,CLARITIN REDITABS 10MG 10'S,LORATADINE,PCS,36.75
251645,CLARITIN TABLET BOX200'S C/S100 PACK5,LORATADINE,PCS,33.4
251813,CLUSIVOL 120ML SYRUP,VITAMIN/MINERAL,BOT,144.1
251814,CLUSIVOL 250ML SYRUP,VITAMIN/MINERAL,BOT,253.85
251812,CLUSIVOL 60ML SYRUP,VITAMIN/MINERAL,BOT,85.25
252041,CLUSIVOL OB TABLET 100'S,VITAMIN B-COMPLEX,PCS,7.15
250033,CLUSIVOL PLUS FILM-COATED TABLET B100'S,VITAMIN/MINERAL,PCS,7.6
259950,COFMED 50MG TABLET B40'S,BUTAMIRATE,PCS,18
259952,COFMED 7.5MG/5ML 60ML,BUTAMIRATE,BOT,130
251983,COLVAN CAPSULE 100'S,PARACETAMOL,PCS,12.65
250760,COMBANTRIN 125MG TABLET 100'S,PYRANTEL P,PCS,50.6
250796,COMBANTRIN ORAL SUSPENSION 10ML,PYRANTEL P,BOT,208.2
250042,CONZACE SOFTGEL BOX100 PACK30,VITAMIN/MINERAL,PCS,12.05
252606,DAKTARIN ORAL GEL 10 GRAMS,MICONAZOLE,TUBE,628.85
256477,DAKTARIN ORAL GEL 3.5G,MICONAZOLE,TUBE,267.4
257917,DECOLGEN FORTE PPA TABLET 100'S,PHENYLPROPANOLAMINE,PCS,5.95
258664,DECOLGEN NO-DROWSE 5+1 B20'S,PHENYLPROPANOLAMINE,PACK,32.25
252739,DECOLGEN NO-DROWSE BOX100 PACK12,PHENYLPROPANOLAMINE,PCS,6.7
258160,DECOLGEN TABLET 5+1 PROMO PACK,PARACETAMOL,PACK,29.75
250412,DECOLSIN CAPSULE 100'S,DEXTROMETHORPHAN,PCS,11.15
250877,DEQUADIN ORANGE TABLET 100'S,DEQUALINIUM,PCS,4.85
257964,DERMALIN BURN OINT 15G,BENZOCAINE+BORIC ACID,PCS,94.45
257991,DERMALIN WHITFIELD OINT 15G,SALICYLIC+,TUBE,74.6
257992,DERMALIN WHITFIELD OINT 30G,SALICYLIC+,TUBE,119.35
628243,DERMAZOLE PLUS SHAMPOO 100ML,KETOCONAZOLE,BOT,574.75
628460,DERMAZOLE SHAMPOO SACHET 8ML,KETOCONAZOLE,SACHET,35.2
250414,DIATABS 2MG REF BOX500PACK100,LOPERAMIDE,PCS,7.45
256893,DIFFLAM LOZENGE EUCALYPTUS/ MENTHOL 16',BENZYDAMINE,PCS,33.85
256887,DIFFLAM LOZENGE ORANGE 16'S,BENZYDAMINE,PCS,33.9
252342,DIFFLAM LOZENGES 3MG 160'S,BENZYDAMINE,PCS,29.75
250579,DISUDRIN 60ML SYRUP,PHENIRAMINE,BOT,120.75
255016,DISUDRIN OR 12.5MG SYRUP 120ML,PHENIRAMINE,BOT,177.95
251996,DISUDRIN ORANGE 10ML DROPS,PHENYLPROPANOLAMINE,BOT,118.5
254679,DOLAN FP 100MG SUSPENSION 60ML,IBUPROFEN,BOT,91.15
252661,DOLAN FP 200MG SUSPENSION 60ML,IBUPROFEN,BOT,144.65
250746,DOLFENAL 250MG TABLET 100'S,MEFENAMIC,PCS,16
250918,DOLO-NEUROBION TABLET 100'S,VITAMIN B-COMPLEX,PCS,24.95
257269,DOMPERIDONE ULG 10MG TABLET 100'S,DOMPERIDONE,PCS,13.5
251240,DRIXINE NASAL SPRAY 15ML,OXYMETAZOLINE,BOT,233.65
260523,DTX500 CAPSULE BOX100'S,FOOD SUPPLEMENT,PCS,14.5
250852,DULCOLAX 10MG SUPPOSITORY 50'S,BISACODYL,PCS,60.65
252617,DULCOLAX 5MG SUPPOSITORIES CASE100 BOX50'S,BISACODYL,PCS,59.1
258197,DULCOLAX 5MG TABLET PROMO PACK 30X4'S,BISACODYL,PACK,76.35
250673,DULCOLAX 5MG TABLET 120'S,BISACODYL,PCS,25.95
251009,DUPHALAC 120ML SYRUP,LACTULOSE,BOT,417.9
253648,E NAT SOFTGEL 400IU CAPSULE 30'S,VITAMIN E DI-C,PCS,19.45
255860,ENDURANZ FOOD SUPPLEMENT CAPSULE 10'S,FOOD SUPPLEMENT,PCS,20.5
256258,ENERVIT CAPSULE 100'S,MULTIVITAMINS+MINERALS,PCS,17.35
258687,ENERVON ACTIV CAPSULE B100'S,MULTIVITAMINS,PCS,13.25
260247,ENERVON ACTIV CAPSULE INTRO PACK,MULTIVITAMINS,PACK,65.65
250175,ENERVON-C 120ML SYRUP,MULTIVITAMINS,BOT,143.3
250172,ENERVON-C 250ML SYRUP,MULTIVITAMINS,BOT,246.95
251885,ENERVON-C 500ML SYRUP,MULTIVITAMINS,BOT,371.9
253239,ENERVON-C FLEX TABLET 100'S,MULTIVITAMINS,PCS,6.45
252536,ENERVON-C TABLET 30'S BOTTLE,MULTIVITAMINS,BOT,194.35
253473,EQUAL POWDER 1/SACHET CASE100 BOX12,SWEETENER,PCS,2.4
252048,EQUAL TABLET 100'S,SWEETENER,PACK,115.25
253384,EQUAL TABLET 200'S,SWEETENER,PACK,200.8
254274,EVEPRIM 1000MG CAPSULE 30'S,VITAMIN B-COMPLEX,PCS,29.35
254350,EXPEL DROPS 15ML,AMBROXOL,BOT,105.35
255863,E-ZINC 27.5MG/ML 15ML DROPS,ZINC SULFATE,BOT,94.35
255862,E-ZINC 55MG /5ML 60ML SYRUP,ZINC SULFATE,BOT,100.55
257683,EZZ-C 100MG SYRUP 60ML,ASCORBIC ACID,BOT,72
260178,EZZ-C 500MG TABLET B100'S,ASCORBIC ACID,PCS,6
250576,FERLIN DROPS 15ML,VITAMIN B-COMPLEX,BOT,122.5
250578,FERLIN SYRUP 120ML,VITAMIN B-COMPLEX,BOT,313.75
259422,FEROKIDS IRON GUMMIES B30'S,IRON,BOT,330.35
250092,FERROUS SO4 IPH 325MG TABLET 100'S,FERROUS SULFATE,PCS,1.95
252050,FERROUS SO4 UHP 100'S BOTTLE,FERROUS SULFATE,BOT,148
259006,FERROUS+FOLIC ACID ULG TABLET 100'S,FERROUS+VI,PCS,3.5
259290,FERSULFATE PLUS UHP TABLET B100'S,FERROUS SULFATE,PCS,3.5
259291,FEVERTAB 500MG UHP TABLET B100'S,PARACETAMOL,PCS,1.75
259286,FIBERMATE ULG ORANGE SACHET B30'S,ISPAGHULA,SACHET,20.75
252401,FIBROSINE 5G POWDER CASE30'S,FENOFIBRAT,PACK,18.7
251003,FLANAX 275MG TABLET BOX500 PACK100,NAPROXEN,PCS,12
259285,FLOTERA CHEWABLE TABLET B100'S,LACTOBACILLUS,PCS,30
259333,FLOTERA DROPS 5ML BOT,LACTOBACILLUS,BOT,988.6
256540,FOLIAGE 5MG CAPSULE 100'S,FOLIC ACID,PCS,9.95
259510,FOLIAGE B-PLUS CAPSULE 100'S,FOLIC ACID,PCS,8.75
255222,FOLICARD 5MG CAPSULE 100'S,FOLIC ACID,PCS,8
257547,FOLIDYN 5MG CAPSULE 100'S,FOLIC ACID,PCS,7.1
257033,FOLIUM FE TABLET 100'S,MULTIVITAMINS+IRON,PCS,13.75
254558,FOLIUM OB TABLET 100'S,VITAMIN/MINERAL,PCS,13.75
252067,FORNIDD 500MG TABLET 100'S,METFORMIN,PCS,15.4
257999,FORTI-D IU 800 CAPSULE 100'S,COLECALCIFEROL,PCS,6.5
250626,FORTIFER FA TABLETS 100'S,VITAMIN B-COMPLEX,PCS,14.7
250776,FORTIFER TABLET 100'S,VITAMIN B-COMPLEX,PCS,12
260079,FORTIPLEX TAB B100'S,VITAMIN B-COMPLEX,PCS,17.85
260394,FOSKINA CREAM 20MG/G 5G 1'S,MUPIROCIN,TUBE,352
255425,FOSKINA OINTMENT 15G,MUPIROCIN,TUBE,676.5
255428,FOSKINA OINTMENT 5G,MUPIROCIN,TUBE,277.2
258977,GAVISCON DOUBLE ACTION CHEWTAB,SODIUM ALGINATE,PCS,18.65
259090,GAVISCON DOUBLE ACTION SACHET BUY3SAVE P8.15,SODIUM ALGINATE,PACK,75.1
258758,GAVISCON DOUBLE ACTION SACHET 10ML B24'S,SODIUM ALGINATE,PCS,33.5
259003,GAVISCON DOUBLE ACTION TAB B96,SODIUM ALGINATE,PCS,20
258183,GAVISCON SACHET 10ML BOX 24'S,SODIUM ALGINATE,SACHET,28.5
256606,GAVISCON TABLET 12 X 8'S,SODIUM ALGINATE,PCS,16.5
257957,GDETOX PLUS CAPSULE 100'S,FOOD SUPPLEMENT,PCS,15
257077,GI NORM 10MG TABLET 100'S,DOMPERIDONE,PCS,29.85
250514,GLUTAPHOS TABLET 100'S,GLUTAMIC C,PCS,9.3
251781,GLYCERINE ADULT SUPPOSITORY 12'S,GLYCERIN,PCS,15.15
252216,GLYDOLAX ADULT 2.52G SUPPOSITORY 12'S,GLYCERIN,PCS,9.5
252217,GLYDOLAX PEDIA 1.89G SUPPOSITORY 12'S,GLYCERIN,PCS,7.85
628129,GOLDLIFE ULTRA CEE 500MG B100'S,SODIUM ASCORBATE,PCS,5
250574,GROWEE 120ML SYRUP,MULTIVITAMINS,BOT,170.25
250274,GROWEE 250ML SYRUP,MULTIVITAMINS,BOT,309.85
254266,GROWEE DROPS 15ML,MULTIVITAMINS,BOT,84.6
260286,GUTSKIN CAPSULE B100'S,LACTULOSE,PCS,53.9
260349,GUYAMAAX 500MG CAPSULE B90'S,FOOD SUPPLEMENT,PCS,12
254735,GYNEPRO FEMININE WASH 60ML,CHLORHEXIDINE,BOT,70.8
251306,H2 BLOC 20MG TABLET BOX20 CASE50,FAMOTIDINE,PCS,24.2
254940,HEMARATE FA TABLET 100'S,MULTIVITAMINS,PCS,22.25
250083,HEMARATE TABLET 100'S,MULTIVITAMINS,PCS,24.4
253177,HERBYCIN 60ML SYRUP,OREGANO,BOT,101.2
260093,HIALID 0.3% OPHTHALMIC SOLUTION 0.3% 5ML,SODIUM HYALURONATE,PCS,347.6
256372,H-ONE 10MG TABLET 100'S,CETIRIZINE,PCS,18.7
257366,H-ONE ORAL DROPS 2.5MG/ 10ML,CETIRIZINE,BOT,133.1
256373,H-ONE ORAL SOLUTION 30ML,CETIRIZINE,BOT,141.9
258983,HYDRITE GRN APPLE 4.1G 100'S,ORAL REHYDRATION SALTS,PCS,16.45
255200,HYDRITE PLN.GRN ORANGE 4.1G 100'S PACK20,ORAL REHYDRATION SALTS,PCS,15
259414,HYDRITE REF BANANA 4.1G 100'S,ORAL REHYDRATION SALTS,PCS,16.45
250091,IBERET ACTIVE 500MG TABLET 100'S,MULTIVITAMINS,PCS,30.5
254707,IBERET ACTIVE CAPSULE 30'S,MULTIVITAMINS,PCS,30.5
250090,IBERET FOLIC 500MG TAB100' PACK30,MULTIVITAMINS,PCS,28.5
260272,IBUPROFEN 200MG ULG CAP B100'S,IBUPROFEN,PCS,4.5
257442,IMMUNOMAX 10MG CAPSULE 30'S,FOOD SUPPLEMENT,PCS,16.5
257804,IMMUNOMAX FORTE 20MG/60ML,FOOD SUPPLEMENT,BOT,308
257441,IMMUNOMAX FORTE 30MG CAP 30'S,FOOD SUPPLEMENT,PCS,44
